vtype,dayID,hourID,sourceTypeID,roadTypeID,hourVMTFraction
10,2,1,11.0,3.0,0.01945286
10,2,2,11.0,3.0,0.01314252
10,2,3,11.0,3.0,0.009997639999999999
10,2,4,11.0,3.0,0.007214018
10,2,5,11.0,3.0,0.006990705999999999
10,2,6,11.0,3.0,0.01052004
10,2,7,11.0,3.0,0.01813024
10,2,8,11.0,3.0,0.026837060000000003
10,2,9,11.0,3.0,0.0372946
10,2,10,11.0,3.0,0.049419979999999995
10,2,11,11.0,3.0,0.059749399999999994
10,2,12,11.0,3.0,0.06702456
10,2,13,11.0,3.0,0.07196696
10,2,14,11.0,3.0,0.07214374
10,2,15,11.0,3.0,0.07247992
10,2,16,11.0,3.0,0.07298798
10,2,17,11.0,3.0,0.07237582000000001
10,2,18,11.0,3.0,0.06873608
10,2,19,11.0,3.0,0.06162460000000001
10,2,20,11.0,3.0,0.05121464
10,2,21,11.0,3.0,0.04220236
10,2,22,11.0,3.0,0.03627304
10,2,23,11.0,3.0,0.029814039999999997
10,2,24,11.0,3.0,0.022407260000000002
10,5,1,11.0,3.0,0.010226906
10,5,2,11.0,3.0,0.0068209920000000005
10,5,3,11.0,3.0,0.005653165999999999
10,5,4,11.0,3.0,0.00545406
10,5,5,11.0,3.0,0.008012809999999999
10,5,6,11.0,3.0,0.01911844
10,5,7,11.0,3.0,0.043985699999999996
10,5,8,11.0,3.0,0.06497552
10,5,9,11.0,3.0,0.05788518
10,5,10,11.0,3.0,0.05119084
10,5,11,11.0,3.0,0.051985340000000005
10,5,12,11.0,3.0,0.055688879999999996
10,5,13,11.0,3.0,0.05824488
10,5,14,11.0,3.0,0.0591399
10,5,15,11.0,3.0,0.06347264
10,5,16,11.0,3.0,0.07164622
10,5,17,11.0,3.0,0.07713618
10,5,18,11.0,3.0,0.07665184
10,5,19,11.0,3.0,0.05935216
10,5,20,11.0,3.0,0.04422994
10,5,21,11.0,3.0,0.035559839999999995
10,5,22,11.0,3.0,0.03139152
10,5,23,11.0,3.0,0.02450598
10,5,24,11.0,3.0,0.017671159999999998
25,2,1,28.0,3.0,0.019452860000000002
25,2,2,28.0,3.0,0.01314252
25,2,3,28.0,3.0,0.00999764
25,2,4,28.0,3.0,0.007214018
25,2,5,28.0,3.0,0.006990706
25,2,6,28.0,3.0,0.01052004
25,2,7,28.0,3.0,0.018130240000000002
25,2,8,28.0,3.0,0.026837060000000003
25,2,9,28.0,3.0,0.0372946
25,2,10,28.0,3.0,0.04941998
25,2,11,28.0,3.0,0.0597494
25,2,12,28.0,3.0,0.06702456
25,2,13,28.0,3.0,0.07196696
25,2,14,28.0,3.0,0.07214374
25,2,15,28.0,3.0,0.07247991999999999
25,2,16,28.0,3.0,0.07298798
25,2,17,28.0,3.0,0.07237582
25,2,18,28.0,3.0,0.06873608
25,2,19,28.0,3.0,0.0616246
25,2,20,28.0,3.0,0.05121464
25,2,21,28.0,3.0,0.04220236
25,2,22,28.0,3.0,0.03627304
25,2,23,28.0,3.0,0.029814039999999997
25,2,24,28.0,3.0,0.02240726
25,5,1,28.0,3.0,0.010226906000000001
25,5,2,28.0,3.0,0.0068209920000000005
25,5,3,28.0,3.0,0.005653166
25,5,4,28.0,3.0,0.00545406
25,5,5,28.0,3.0,0.00801281
25,5,6,28.0,3.0,0.01911844
25,5,7,28.0,3.0,0.043985699999999996
25,5,8,28.0,3.0,0.06497552
25,5,9,28.0,3.0,0.057885179999999994
25,5,10,28.0,3.0,0.05119084
25,5,11,28.0,3.0,0.05198534
25,5,12,28.0,3.0,0.05568888
25,5,13,28.0,3.0,0.058244880000000006
25,5,14,28.0,3.0,0.0591399
25,5,15,28.0,3.0,0.06347264
25,5,16,28.0,3.0,0.07164622
25,5,17,28.0,3.0,0.07713617999999998
25,5,18,28.0,3.0,0.07665184
25,5,19,28.0,3.0,0.05935216
25,5,20,28.0,3.0,0.04422994
25,5,21,28.0,3.0,0.03555984
25,5,22,28.0,3.0,0.03139152
25,5,23,28.0,3.0,0.02450598
25,5,24,28.0,3.0,0.01767116
40,2,1,42.0,3.0,0.019452860000000002
40,2,2,42.0,3.0,0.01314252
40,2,3,42.0,3.0,0.00999764
40,2,4,42.0,3.0,0.007214018
40,2,5,42.0,3.0,0.006990706
40,2,6,42.0,3.0,0.01052004
40,2,7,42.0,3.0,0.018130240000000002
40,2,8,42.0,3.0,0.026837060000000003
40,2,9,42.0,3.0,0.0372946
40,2,10,42.0,3.0,0.04941998
40,2,11,42.0,3.0,0.0597494
40,2,12,42.0,3.0,0.06702456
40,2,13,42.0,3.0,0.07196696
40,2,14,42.0,3.0,0.07214374
40,2,15,42.0,3.0,0.07247991999999999
40,2,16,42.0,3.0,0.07298798
40,2,17,42.0,3.0,0.07237582
40,2,18,42.0,3.0,0.06873608
40,2,19,42.0,3.0,0.0616246
40,2,20,42.0,3.0,0.05121464
40,2,21,42.0,3.0,0.04220236
40,2,22,42.0,3.0,0.03627304
40,2,23,42.0,3.0,0.029814039999999997
40,2,24,42.0,3.0,0.02240726
40,5,1,42.0,3.0,0.010226906000000001
40,5,2,42.0,3.0,0.0068209920000000005
40,5,3,42.0,3.0,0.005653166
40,5,4,42.0,3.0,0.00545406
40,5,5,42.0,3.0,0.00801281
40,5,6,42.0,3.0,0.01911844
40,5,7,42.0,3.0,0.043985699999999996
40,5,8,42.0,3.0,0.06497552
40,5,9,42.0,3.0,0.057885179999999994
40,5,10,42.0,3.0,0.05119084
40,5,11,42.0,3.0,0.05198534
40,5,12,42.0,3.0,0.05568888
40,5,13,42.0,3.0,0.058244880000000006
40,5,14,42.0,3.0,0.0591399
40,5,15,42.0,3.0,0.06347264
40,5,16,42.0,3.0,0.07164622
40,5,17,42.0,3.0,0.07713617999999998
40,5,18,42.0,3.0,0.07665184
40,5,19,42.0,3.0,0.05935216
40,5,20,42.0,3.0,0.04422994
40,5,21,42.0,3.0,0.03555984
40,5,22,42.0,3.0,0.03139152
40,5,23,42.0,3.0,0.02450598
40,5,24,42.0,3.0,0.01767116
50,2,1,52.5,3.0,0.01945286
50,2,2,52.5,3.0,0.01314252
50,2,3,52.5,3.0,0.009997639999999999
50,2,4,52.5,3.0,0.007214018
50,2,5,52.5,3.0,0.006990705999999999
50,2,6,52.5,3.0,0.01052004
50,2,7,52.5,3.0,0.01813024
50,2,8,52.5,3.0,0.026837060000000003
50,2,9,52.5,3.0,0.0372946
50,2,10,52.5,3.0,0.049419979999999995
50,2,11,52.5,3.0,0.059749399999999994
50,2,12,52.5,3.0,0.06702456
50,2,13,52.5,3.0,0.07196696
50,2,14,52.5,3.0,0.07214374
50,2,15,52.5,3.0,0.07247992
50,2,16,52.5,3.0,0.07298798
50,2,17,52.5,3.0,0.07237582000000001
50,2,18,52.5,3.0,0.06873608
50,2,19,52.5,3.0,0.06162460000000001
50,2,20,52.5,3.0,0.05121464
50,2,21,52.5,3.0,0.04220236
50,2,22,52.5,3.0,0.03627304
50,2,23,52.5,3.0,0.029814039999999997
50,2,24,52.5,3.0,0.022407260000000002
50,5,1,52.5,3.0,0.010226906
50,5,2,52.5,3.0,0.0068209920000000005
50,5,3,52.5,3.0,0.005653165999999999
50,5,4,52.5,3.0,0.00545406
50,5,5,52.5,3.0,0.008012809999999999
50,5,6,52.5,3.0,0.01911844
50,5,7,52.5,3.0,0.043985699999999996
50,5,8,52.5,3.0,0.06497552
50,5,9,52.5,3.0,0.05788518
50,5,10,52.5,3.0,0.05119084
50,5,11,52.5,3.0,0.051985340000000005
50,5,12,52.5,3.0,0.055688879999999996
50,5,13,52.5,3.0,0.05824488
50,5,14,52.5,3.0,0.0591399
50,5,15,52.5,3.0,0.06347264
50,5,16,52.5,3.0,0.07164622
50,5,17,52.5,3.0,0.07713618
50,5,18,52.5,3.0,0.07665184
50,5,19,52.5,3.0,0.05935216
50,5,20,52.5,3.0,0.04422994
50,5,21,52.5,3.0,0.035559839999999995
50,5,22,52.5,3.0,0.03139152
50,5,23,52.5,3.0,0.02450598
50,5,24,52.5,3.0,0.017671159999999998
60,2,1,61.5,3.0,0.01945286
60,2,2,61.5,3.0,0.01314252
60,2,3,61.5,3.0,0.009997639999999999
60,2,4,61.5,3.0,0.007214018
60,2,5,61.5,3.0,0.006990705999999999
60,2,6,61.5,3.0,0.01052004
60,2,7,61.5,3.0,0.01813024
60,2,8,61.5,3.0,0.026837060000000003
60,2,9,61.5,3.0,0.0372946
60,2,10,61.5,3.0,0.049419979999999995
60,2,11,61.5,3.0,0.059749399999999994
60,2,12,61.5,3.0,0.06702456
60,2,13,61.5,3.0,0.07196696
60,2,14,61.5,3.0,0.07214374
60,2,15,61.5,3.0,0.07247992
60,2,16,61.5,3.0,0.07298798
60,2,17,61.5,3.0,0.07237582000000001
60,2,18,61.5,3.0,0.06873608
60,2,19,61.5,3.0,0.06162460000000001
60,2,20,61.5,3.0,0.05121464
60,2,21,61.5,3.0,0.04220236
60,2,22,61.5,3.0,0.03627304
60,2,23,61.5,3.0,0.029814039999999997
60,2,24,61.5,3.0,0.022407260000000002
60,5,1,61.5,3.0,0.010226906
60,5,2,61.5,3.0,0.0068209920000000005
60,5,3,61.5,3.0,0.005653165999999999
60,5,4,61.5,3.0,0.00545406
60,5,5,61.5,3.0,0.008012809999999999
60,5,6,61.5,3.0,0.01911844
60,5,7,61.5,3.0,0.043985699999999996
60,5,8,61.5,3.0,0.06497552
60,5,9,61.5,3.0,0.05788518
60,5,10,61.5,3.0,0.05119084
60,5,11,61.5,3.0,0.051985340000000005
60,5,12,61.5,3.0,0.055688879999999996
60,5,13,61.5,3.0,0.05824488
60,5,14,61.5,3.0,0.0591399
60,5,15,61.5,3.0,0.06347264
60,5,16,61.5,3.0,0.07164622
60,5,17,61.5,3.0,0.07713618
60,5,18,61.5,3.0,0.07665184
60,5,19,61.5,3.0,0.05935216
60,5,20,61.5,3.0,0.04422994
60,5,21,61.5,3.0,0.035559839999999995
60,5,22,61.5,3.0,0.03139152
60,5,23,61.5,3.0,0.02450598
60,5,24,61.5,3.0,0.017671159999999998
